,raw_name,label,pre_class_win0,pre_class_win1,pre_class_win2,pre_class_win3,pre_class_win4,pre_class_win5,pre_class_win6,pre_class_win7,pre_class_win8,pre_class_win9,pre_class_win10,pre_class_win11,pre_class_win12,pre_class_win13,pre_class_win14,pre_class_win15,pre_class_win16,pre_class_win17,pre_class_win18,pre_class_win19,pre_class_win20,pre_class_win21,pre_class_win22,pre_class_win23,pre_class_win24,pre_prob_win0,pre_prob_win1,pre_prob_win2,pre_prob_win3,pre_prob_win4,pre_prob_win5,pre_prob_win6,pre_prob_win7,pre_prob_win8,pre_prob_win9,pre_prob_win10,pre_prob_win11,pre_prob_win12,pre_prob_win13,pre_prob_win14,pre_prob_win15,pre_prob_win16,pre_prob_win17,pre_prob_win18,pre_prob_win19,pre_prob_win20,pre_prob_win21,pre_prob_win22,pre_prob_win23,pre_prob_win24,label
10,B20180925sunyt_TPD_DIA_vb9_10_1_350_1800_M,M,Malignant,Benign,Benign,Malignant,Benign,Malignant,Benign,Benign,Benign,Benign,Benign,Malignant,Malignant,Malignant,Malignant,Malignant,Malignant,Benign,Benign,Malignant,Malignant,Malignant,Malignant,Benign,Malignant,0.9460084,0.1797357,0.2290227,0.6057151,0.001538163,0.5178419,0.000361658,0.086137235,0.00397559,0.011789881,0.0925313,0.99189174,0.602774,0.96470994,0.99460983,0.7391351,0.69461143,0.27500784,0.003574727,0.77835447,0.9514842,0.52088606,0.80125254,0.002429584,0.9996809,1
11,B20181002sunyt_TPD_DIA_vb26_2_1_350_1800_B,B,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,0.000436676,0.32248574,0.27211815,0.14275129,6.51E-05,0.21631762,0.001433611,0.019335527,0.018513026,2.79E-05,0.010406262,1.96E-05,0.001852042,0.009676049,8.19E-06,0.004561526,0.19885983,0.013185605,0.003262957,2.82E-05,0.000984875,0.098039426,1.31E-06,0.000928826,5.49E-05,0
12,B20180821sunyt_TPD_DIA_b61_11_1_350_1800_B,B,Malignant,Benign,Benign,Malignant,Benign,Malignant,Malignant,Benign,Malignant,Benign,Benign,Malignant,Benign,Benign,Benign,Malignant,Malignant,Malignant,Malignant,Benign,Malignant,Benign,Benign,Benign,Benign,0.75412863,0.37024924,0.49651247,0.6840576,0.09694564,0.9306344,0.9996216,0.4583948,0.74154186,0.2306124,0.22727023,0.93615615,0.016743142,0.44080636,0.14491569,0.8471069,0.52960485,0.7531483,0.82531166,0.3346211,0.9888658,0.20242156,0.47944662,0.27955642,0.008196526,0
13,B20180821sunyt_TPD_DIA_b61_15_1_350_1800_B,B,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,0.00020554,0.007800315,0.11893871,0.052645486,6.13E-06,0.019734863,7.18E-05,0.011995059,0.000631613,2.22E-05,0.001502899,5.59E-06,1.83E-05,0.003271892,6.10E-06,0.004554126,0.1576798,0.03936931,0.002133728,6.01E-05,1.33E-05,0.000266058,2.06E-06,6.71E-06,1.46E-05,0
14,B20180816sunyt_TPD_DIA_b65_12_1_350_1800_B,B,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,0.000847433,0.15280809,0.36189136,0.06479337,1.26E-05,0.09071409,0.000138302,0.014559956,0.027327357,8.23E-05,0.009125904,3.47E-05,0.001927966,0.04264103,0.020029616,0.004495731,0.3250706,0.007164124,0.026200015,8.85E-06,9.99E-06,0.000406239,1.27E-06,7.56E-06,6.03E-05,0
15,B20181005sunyt_TPD_DIA_vb33_15_1_350_1800_B,B,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,0.000296074,0.13586634,0.14367001,0.094407454,0.000895724,0.17215952,0.000273584,0.015699951,0.019062176,7.34E-06,0.003379928,0.000165557,9.86E-05,0.041648082,2.90E-06,0.020157758,0.19299604,0.007891578,0.003854518,2.74E-05,6.06E-05,0.002574909,4.83E-05,1.15E-05,1.97E-06,0
16,B20181004sunyt_TPD_DIA_vb32_14_1_350_1800_B,B,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,0.000290497,0.008748981,0.08469019,0.05075523,4.60E-05,0.014810936,0.000220687,0.01375053,0.003268218,1.43E-05,0.002058264,4.81E-05,1.10E-05,0.005679745,2.68E-05,0.053200897,0.11825347,0.004574963,0.015827078,1.92E-05,8.05E-06,0.001190845,3.54E-06,1.68E-05,1.37E-05,0
17,B20180807sunyt_TPD_DIA_b11_4_1_350_1800_B,B,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,0.000104133,0.31498992,0.11129817,0.04997068,4.30E-06,0.045751553,0.000279342,0.029976452,0.006485399,0.013787996,0.003037772,1.94E-05,6.24E-05,0.00824696,4.06E-05,0.001794275,0.2759437,0.007066254,0.3186123,0.000221623,6.69E-06,0.000175644,2.89E-06,1.11E-05,1.32E-05,0
18,B20180624sunyt_TPD_DIA_b54_1_1_350_1800_B,B,Malignant,Benign,Benign,Benign,Benign,Benign,Benign,Malignant,Benign,Benign,Benign,Benign,Benign,Benign,Malignant,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,0.8116997,0.39752164,0.10217783,0.08438154,8.63E-06,0.23657656,0.008489118,0.78796566,0.14255619,5.20E-05,0.07923248,0.000175484,0.008476535,0.16386856,0.8144162,0.11700701,0.4935359,0.4051304,0.007020576,1.05E-05,0.05090161,0.012774748,0.000489407,0.21812336,0.00167929,0
19,B20180723sunyt_TPD_DIA_b79_13_1_350_1800_B,B,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,0.002681265,0.11564395,0.3690447,0.20889504,1.04E-05,0.30225176,0.000589556,0.20323634,0.44700605,2.95E-05,0.22730264,0.033954877,0.008748758,0.37117082,0.001103253,0.016422648,0.3602447,0.06300811,0.0031729,0.059071153,0.073600136,0.008378853,0.003111059,0.001519775,0.006627732,0
